statefips,year,dem_prop,rep_prop
1,1976,0.8492,0.1508
1,1977,0.8492,0.1508
1,1978,0.737,0.263
1,1979,0.737,0.263
1,1980,0.737,0.263
1,1981,0.737,0.263
1,1982,0.5961,0.4039
1,1983,0.5961,0.4039
1,1984,0.5961,0.4039
1,1985,0.5961,0.4039
1,1986,0.4355,0.5645
1,1987,0.4355,0.5645
1,1988,0.4355,0.5645
1,1989,0.4355,0.5645
1,1990,0.4789,0.5211
1,1991,0.4789,0.5211
1,1992,0.4789,0.5211
1,1993,0.4789,0.5211
1,1994,0.4955,0.5045
1,1995,0.4955,0.5045
1,1996,0.4955,0.5045
1,1997,0.4955,0.5045
1,1998,0.5787,0.4213
1,1999,0.5787,0.4213
1,2000,0.5787,0.4213
1,2001,0.5787,0.4213
1,2002,0.4988,0.5012
1,2003,0.4988,0.5012
1,2004,0.4988,0.5012
1,2005,0.4988,0.5012
1,2006,0.4198,0.5802
1,2007,0.4198,0.5802
1,2008,0.4198,0.5802
1,2009,0.4198,0.5802
1,2010,0.421,0.579
1,2014,0.36314131,0.63685869
1,2018,0.404195464,0.595804536
2,1976,0.4984,0.5016
2,1977,0.4984,0.5016
2,1978,0.341,0.659
2,1979,0.341,0.659
2,1980,0.341,0.659
2,1981,0.341,0.659
2,1982,0.5543,0.4457
2,1983,0.5543,0.4457
2,1984,0.5543,0.4457
2,1985,0.5543,0.4457
2,1986,0.5261,0.4739
2,1987,0.5261,0.4739
2,1988,0.5261,0.4739
2,1989,0.5261,0.4739
2,1990,0.5414,0.4586
2,1991,0.5414,0.4586
2,1992,0.5414,0.4586
2,1993,0.5414,0.4586
2,1994,0.5015,0.4985
2,1995,0.5015,0.4985
2,1996,0.5015,0.4985
2,1997,0.5015,0.4985
2,1998,0.7291,0.2709
2,1999,0.7291,0.2709
2,2000,0.7291,0.2709
2,2001,0.7291,0.2709
2,2002,0.4216,0.5784
2,2003,0.4216,0.5784
2,2004,0.4216,0.5784
2,2005,0.4216,0.5784
2,2006,0.4588,0.5412
2,2007,0.4588,0.5412
2,2008,0.4588,0.5412
2,2009,0.4588,0.5412
2,2010,0.3894,0.6106
2,2014,0.065383496,0.934616504
2,2018,0.463348933,0.536651067
4,1976,0.5043,0.4957
4,1977,0.5043,0.4957
4,1978,0.5396,0.4604
4,1979,0.5396,0.4604
4,1980,0.5396,0.4604
4,1981,0.5396,0.4604
4,1982,0.6580001,0.3419999
4,1983,0.6580001,0.3419999
4,1984,0.6580001,0.3419999
4,1985,0.6580001,0.3419999
4,1986,0.4651,0.5349
4,1987,0.4651,0.5349
4,1988,0.4651,0.5349
4,1989,0.4651,0.5349
4,1990,0.4979,0.5021
4,1991,0.4764,0.5236
4,1992,0.4764,0.5236
4,1993,0.4764,0.5236
4,1994,0.4576,0.5424
4,1995,0.4576,0.5424
4,1996,0.4576,0.5424
4,1997,0.4576,0.5424
4,1998,0.3728,0.6272
4,1999,0.3728,0.6272
4,2000,0.3728,0.6272
4,2001,0.3728,0.6272
4,2002,0.5053,0.4947
4,2003,0.5053,0.4947
4,2004,0.5053,0.4947
4,2005,0.5053,0.4947
4,2006,0.6385,0.3615
4,2007,0.6385,0.3615
4,2008,0.6385,0.3615
4,2009,0.6385,0.3615
4,2010,0.4387,0.5613
4,2014,0.437799192,0.562200808
4,2018,0.427636027,0.572363973
5,1976,0.8325,0.1675
5,1977,0.8325,0.1675
5,1978,0.6336,0.3664
5,1979,0.6336,0.3664
5,1980,0.4807,0.5193
5,1981,0.4807,0.5193
5,1982,0.5471,0.4529
5,1983,0.5471,0.4529
5,1984,0.6246,0.3754
5,1985,0.6246,0.3754
5,1986,0.6389,0.3611
5,1987,0.6389,0.3611
5,1988,0.6389,0.3611
5,1989,0.6389,0.3611
5,1990,0.575,0.425
5,1991,0.575,0.425
5,1992,0.575,0.425
5,1993,0.575,0.425
5,1994,0.5984,0.4016
5,1995,0.5984,0.4016
5,1996,0.5984,0.4016
