state_fips,year,dem_prop,rep_prop
1,1978,0.750078256,0.249921744
1,1980,0.484059571,0.515940429
1,1984,0.633191886,0.366808114
1,1986,0.502815008,0.497184992
1,1990,0.605748166,0.394251834
1,1992,0.662063438,0.337936562
1,1996,0.464312401,0.535687599
1,1998,0.367158953,0.632841047
1,2002,0.404733525,0.595266475
1,2004,0.323869024,0.676130976
1,2008,0.365633447,0.634366553
1,2010,0.347498989,0.652501011
1,2014,0,1
1,2016,0.359297595,0.640702405
2,1978,0.241702559,0.758297441
2,1980,0.461092683,0.538907317
2,1984,0.285840669,0.714159331
2,1986,0.449416858,0.550583142
2,1990,0.327089507,0.672910493
2,1992,0.419950919,0.580049081
2,1996,0.118774459,0.881225541
2,1998,0.209326698,0.790673302
2,2002,0.11854832,0.88145168
2,2004,0.483891977,0.516108023
2,2008,0.506597548,0.493402452
2,2010,0.39795472,0.60204528
2,2014,0.488647518,0.511352482
2,2016,0.207629525,0.792370475
4,1976,0.554809651,0.445190349
4,1980,0.494505713,0.505494287
4,1982,0.585418327,0.414581673
4,1986,0.395177413,0.604822587
4,1988,0.580082972,0.419917028
4,1992,0.361277817,0.638722183
4,1994,0.424059591,0.575940409
4,1998,0.283210246,0.716789754
4,2000,0,1
4,2004,0.211797187,0.788202813
4,2006,0.44918734,0.55081266
4,2010,0.370556688,0.629443312
4,2012,0.484139413,0.515860587
4,2016,0.43130172,0.56869828
4,2018,0.512014787,0.487985213
5,1978,0.824290246,0.175709754
5,1980,0.591114695,0.408885305
5,1984,0.573477435,0.426522565
5,1986,0.622807308,0.377192692
5,1990,1,0
5,1992,0.601771941,0.398228059
5,1996,0.472995794,0.527004206
5,1998,0.566012662,0.433987338
5,2002,0.538956202,0.461043798
5,2004,0.5591607,0.4408393
5,2008,1,0
5,2010,0.389518961,0.610481039
5,2014,0.411041669,0.588958331
5,2016,0.377006661,0.622993339
6,1976,0.483031122,0.516968878
6,1980,0.603416802,0.396583198
6,1982,0.4649089,0.5350911
6,1986,0.507294175,0.492705825
6,1988,0.454607853,0.545392147
6,1992,0.557916976,0.442083024
6,1994,0.510397853,0.489602147
6,1998,0.55228328,0.44771672
6,2000,0.604164929,0.395835071
6,2004,0.604233798,0.395766202
6,2006,0.629257364,0.370742636
6,2010,0.553046602,0.446953398
6,2012,0.625242845,0.374757155
6,2016,1,0
6,2018,1,0
8,1978,0.407113148,0.592886852
8,1980,0.508265651,0.491734349
8,1984,0.350175506,0.649824494
8,1986,0.507892518,0.492107482
8,1990,0.427974033,0.572025967
8,1992,0.548012502,0.451987498
8,1996,0.470832173,0.529167827
8,1998,0.359126328,0.640873672
8,2002,0.474464925,0.525535075
8,2004,0.524376096,0.475623904
8,2008,0.554065288,0.445934712
8,2010,0.50861812,0.49138188
8,2014,0.489707971,0.510292029
8,2016,0.530044532,0.469955468
9,1976,0.416586904,0.583413096
9,1980,0.567646689,0.432353311
9,1982,0.47759089,0.52240911
9,1986,0.650162927,0.349837073
9,1988,0.50367423,0.49632577
9,1992,0.502446729,0.497553271
9,1994,0.569969408,0.430030592
9,1998,0.668067365,0.331932635
9,2000,0.649111693,0.350888307
9,2004,0.67375789,0.32624211
9,2006,0.805018195,0.194981805
9,2010,0.548418053,0.451581947
9,2012,0.567408583,0.432591417
9,2016,0.624931535,0.375068465
9,2018,0.590733327,0.409266673
10,1976,0.438674518,0.561325482
10,1978,0.585565648,0.414434352
10,1982,0.444817411,0.555182589
10,1984,0.601105184,0.398894816
10,1988,0.379386676,0.620613324
10,1990,0.636258114,0.363741886
10,1994,0.432177656,0.567822344
10,1996,0.611580725,0.388419275
10,2000,0.559599577,0.440400423
10,2002,0.587938934,0.412061066
10,2006,0.709805619,0.290194381
10,2008,0.646865126,0.353134874
10,2010,0.585770791,0.414229209
10,2012,0.696417092,0.303582908
10,2014,0.569357411,0.430642589
10,2018,0.61319504,0.38680496
12,1976,0.629773739,0.370226261
12,1980,0.483410523,0.516589477
12,1982,0.617289428,0.382710572
12,1986,0.547401557,0.452598443
12,1988,0.495756982,0.504243018
12,1992,0.654074812,0.345925188
12,1994,0.294847236,0.705152764
12,1998,0.624693795,0.375306205
12,2000,0.524947079,0.475052921
12,2004,0.494309358,0.505690642
12,2006,0.612835949,0.387164051
12,2010,0.292332131,0.707667869
12,2012,0.566726487,0.433273513
12,2016,0.460194217,0.539805783
12,2018,0.499387408,0.500612592
13,1978,0.831338897,0.168661103
13,1980,0.491282917,0.508717083
13,1984,0.799443288,0.200556712
13,1986,0.509170185,0.490829815
13,1990,1,0
13,1992,0.502750103,0.497249897
13,1996,0.506892682,0.493107318
13,1998,0.462981542,0.537018458
13,2000,NA,NA
13,2002,0.465332917,0.534667083
13,2004,0.40854509,0.59145491
13,2008,0.462879132,0.537120868
13,2010,0.400783456,0.599216544
13,2014,0.460840629,0.539159371
13,2016,0.42824583,0.57175417
15,1976,0.569433286,0.430566714
15,1980,0.808800481,0.191199519
15,1982,0.824946127,0.175053873
15,1986,0.735672771,0.264327229
15,1988,0.787294239,0.212705761
15,1990,0.547731233,0.452268767
15,1992,0.68017662,0.31982338
15,1994,0.747977425,0.252022575
15,1998,0.81625826,0.18374174
15,2000,0.747850653,0.252149347
15,2004,0.782505533,0.217494467
15,2006,0.625187634,0.374812366
15,2010,0.77618593,0.22381407
15,2012,0.626015429,0.373984571
15,2014,0.715787062,0.284212938
15,2016,0.767936442,0.232063558
15,2018,0.711510978,0.288489022
16,1978,0.315563974,0.684436026
16,1980,0.495080113,0.504919887
16,1984,0.264782439,0.735217561
16,1986,0.484435533,0.515564467
16,1990,0.387087891,0.612912109
16,1992,0.434763346,0.565236654
16,1996,0.411703192,0.588296808
16,1998,0.289935492,0.710064508
16,2002,0.333112052,0.666887948
16,2004,0,1
16,2008,0.371679397,0.628320603
16,2010,0.259385199,0.740614801
16,2014,0.34671638,0.65328362
16,2016,0.295400979,0.704599021
17,1978,0.460195087,0.539804913
17,1980,0.568601635,0.431398365
17,1984,0.509471003,0.490528997
17,1986,0.658711515,0.341288485
17,1990,0.650684019,0.349315981
17,1992,0.553004353,0.446995647
17,1996,0.579653243,0.420346757
17,1998,0.485156816,0.514843184
17,2002,0.613437824,0.386562176
17,2004,0.721201023,0.278798977
17,2008,0.703955736,0.296044264
17,2010,0.491535589,0.508464411
17,2014,0.556386544,0.443613456
17,2016,0.579675514,0.420324486
18,1976,0.405027153,0.594972847
18,1980,0.462142054,0.537857946
18,1982,0.458515272,0.541484728
18,1986,0.388675241,0.611324759
18,1988,0.31857145,0.68142855
18,1990,0.463595546,0.536404454
18,1992,0.415174437,0.584825563
18,1994,0.311699894,0.688300106
18,1998,0.646811197,0.353188803
18,2000,0.323639399,0.676360601
18,2004,0.623509042,0.376490958
18,2006,0,1
18,2010,0.422921878,0.577078122
18,2012,0.53055323,0.46944677
18,2016,0.44869331,0.55130669
18,2018,0.469185484,0.530814516
19,1978,0.483755865,0.516244135
19,1980,0.459879689,0.540120311
19,1984,0.559512325,0.440487675
19,1986,0.337060361,0.662939639
19,1990,0.545330693,0.454669307
19,1992,0.280951666,0.719048334
19,1996,0.525854227,0.474145773
19,1998,0.308309396,0.691690604
19,2002,0.553077821,0.446922179
19,2004,0.284283784,0.715716216
19,2008,0.627078102,0.372921898
19,2010,0.341027304,0.658972696
19,2014,0.456505178,0.543494822
19,2016,0.372397349,0.627602651
20,1978,0.440528964,0.559471036
20,1980,0.362392527,0.637607473
20,1984,0.218420624,0.781579376
20,1986,0.299507265,0.700492735
20,1990,0.263951222,0.736048778
20,1992,0.331061376,0.668938624
20,1996,0.401733887,0.598266113
20,1998,0.326138592,0.673861408
20,2002,0,1
20,2004,0.284399743,0.715600257
20,2008,0.37774193,0.62225807
20,2010,0.273429554,0.726570446
20,2014,0,1
20,2016,0.341457186,0.658542814
21,1978,0.623220778,0.376779222
21,1980,0.651258447,0.348741553
21,1984,1,0
21,1986,0.744013115,0.255986885
21,1990,0.478134518,0.521865482
21,1992,0.63714739,0.36285261
21,1996,0.435872809,0.564127191
21,1998,0.497013774,0.502986226
21,2002,0.353247952,0.646752048
21,2004,0.493431774,0.506568226
21,2008,0.470343804,0.529656196
21,2010,0.442595212,0.557404788
21,2014,0.420197128,0.579802872
21,2016,0.427254478,0.572745522
22,1978,1,0
22,1980,0.971308554,0.028691446
22,1984,1,0
22,1986,0.528204675,0.471795325
22,1990,1,0
22,1992,1,0
22,1996,0.501702251,0.498297749
22,1998,0.667102304,0.332897696
22,2002,0.501259687,0.498740313
22,2004,0.482001608,0.517998392
22,2008,0.532638812,0.467361188
22,2010,0.399813085,0.600186915
22,2014,0.450419911,0.549580089
22,2016,0.362651947,0.637348053
23,1976,0.602032526,0.397967474
23,1978,0.37490909,0.62509091
23,1982,0.608697828,0.391302172
23,1984,0.260723165,0.739276835
23,1988,0.81290537,0.18709463
23,1990,0.386476875,0.613523125
23,1994,0.376385332,0.623614668
23,1996,0.471490203,0.528509797
23,2000,0.310587016,0.689412984
23,2002,0.415643525,0.584356475
23,2006,0.218093525,0.781906475
23,2008,0.386164878,0.613835122
23,2012,0.301330851,0.698669149
23,2014,0.3151158,0.6848842
23,2018,0.228691721,0.771308279
24,1976,0.592765673,0.407234327
24,1980,0.338326771,0.661673229
24,1982,0.634576429,0.365423571
24,1986,0.606869632,0.393130368
24,1988,0.618026935,0.381973065
24,1992,0.71015664,0.28984336
24,1994,0.591019355,0.408980645
24,1998,0.705039713,0.294960287
24,2000,0.632335334,0.367664666
24,2004,0.657717684,0.342282316
24,2006,0.550864144,0.449135856
